V1	V2	V3	V4	V5	V6	V7
192.168.1.155	192.168.1.239	3145	TCP	60.8012718600954	1.65819682259618	3.2000000000032e-05
192.168.1.155	192.168.1.239	1284	SMB	224.854361370717	35.5764659613783	0.00151300000000276
192.168.1.155	192.168.1.239	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.239	1	SRVSVC	846	NA	NA
192.168.1.155	192.168.1.239	1	HTTP	66	NA	NA
192.168.1.155	192.168.1.157	61	NBNS	92.5901639344262	3.23201201101485	2.49752549999997
192.168.1.155	192.168.1.157	9	TCP	60.6666666666667	1	0.000120000000009668
192.168.1.155	192.168.1.157	11	SMB	160.090909090909	79.8792270186117	0.000624999999985221
192.168.1.155	192.168.1.157	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.157	1	SRVSVC	846	NA	NA
192.168.1.155	200.51.43.5	16	DNS	88.125	0.5	50.21682
192.168.1.155	192.168.1.91	3617	TCP	60.7508985346973	1.57908757923646	3.10000000354194e-05
192.168.1.155	192.168.1.91	1545	SMB	224.178640776699	36.8517606593682	0.00145199999997203
192.168.1.155	192.168.1.91	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.91	1	SRVSVC	846	NA	NA
192.168.1.155	192.168.1.91	2	HTTP	130	90.5096679918781	689.847078
192.168.1.155	192.168.1.91	3	NBSS	104	38.1051177665153	239.5935805
192.168.1.155	192.168.1.91	2	ICMP	74	0	0.00255000000004202
192.168.1.155	192.168.1.91	1	BROWSER	221	NA	NA
192.168.1.155	192.168.1.91	1	LANMAN	346	NA	NA
192.168.1.155	192.168.1.100	3	TCP	62	0	0.546785499999999
192.168.1.155	192.168.1.255	13	BROWSER	235.615384615385	11.0870680038988	12.3040725
192.168.1.155	192.168.1.255	84	NBNS	92	0	0.749955
192.168.1.155	192.168.1.247	3745	TCP	60.7914552736983	1.56808843090102	3.29999999735264e-05
192.168.1.155	192.168.1.247	6	NBSS	126	0	0.0546610000000101
192.168.1.155	192.168.1.247	1551	SMB	224.123146357189	37.1725486559359	0.00153350000002206
192.168.1.155	192.168.1.247	2	LANMAN	176	0	0.00590900000003103
192.168.1.155	192.168.1.247	3	ICMP	74	0	0.0295749999999941
192.168.1.155	192.168.1.247	2	HTTP	130	90.5096679918781	207.240415
192.168.1.155	192.168.1.247	1	DCERPC	194	NA	NA
192.168.1.155	192.168.1.247	1	SRVSVC	846	NA	NA
192.168.1.155	255.255.255.255	1	UDP	60	NA	NA
192.168.1.155	224.0.0.22	2	IGMPv3	60	0	0.805774999999983
